Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,11786.250000,11986.150391,11783.400391,11979.650391,11979.650391,560400
2020-02-05,12005.849609,12098.150391,11953.349609,12089.150391,12089.150391,758000
2020-02-06,12120.000000,12160.599609,12084.650391,12137.950195,12137.950195,565100
2020-02-07,12151.150391,12154.700195,12073.950195,12098.349609,12098.349609,473500
2020-02-10,12102.349609,12103.549805,11990.750000,12031.500000,12031.500000,524700
2020-02-11,12108.400391,12172.299805,12099.000000,12107.900391,12107.900391,480000
2020-02-12,12151.000000,12231.750000,12144.299805,12201.200195,12201.200195,411700
2020-02-13,12219.549805,12225.650391,12139.799805,12174.650391,12174.650391,501200
2020-02-14,12190.150391,12246.700195,12091.200195,12113.450195,12113.450195,622800
2020-02-17,12131.799805,12159.599609,12037.000000,12045.799805,12045.799805,0
2020-02-18,12028.250000,12030.750000,11908.049805,11992.500000,11992.500000,676900
2020-02-19,12090.599609,12134.700195,12042.099609,12125.900391,12125.900391,513600
2020-02-20,12119.000000,12152.000000,12071.450195,12080.849609,12080.849609,502600
2020-02-24,12012.549805,12012.549805,11813.400391,11829.400391,11829.400391,490800
2020-02-25,11877.500000,11883.049805,11779.900391,11797.900391,11797.900391,461000
2020-02-26,11738.549805,11783.250000,11639.599609,11678.500000,11678.500000,567600
2020-02-27,11661.250000,11663.849609,11536.700195,11633.299805,11633.299805,608600
2020-02-28,11382.000000,11384.799805,11175.049805,11201.750000,11201.750000,809900
2020-03-02,11387.349609,11433.000000,11036.250000,11132.750000,11132.750000,680800
2020-03-03,11217.549805,11342.250000,11152.549805,11303.299805,11303.299805,696500
2020-03-04,11351.349609,11356.599609,11082.150391,11251.000000,11251.000000,797700
2020-03-05,11306.049805,11389.500000,11244.599609,11269.000000,11269.000000,1352500
2020-03-06,10942.650391,11035.099609,10827.400391,10989.450195,10989.450195,1811000
2020-03-09,10742.049805,10751.549805,10294.450195,10451.450195,10451.450195,1565500
2020-03-11,10334.299805,10545.099609,10334.000000,10458.400391,10458.400391,1218500
2020-03-12,10039.950195,10040.750000,9508.000000,9590.150391,9590.150391,1343500
2020-03-13,9107.599609,10159.400391,8555.150391,9955.200195,9955.200195,1388000
2020-03-16,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700
2020-03-17,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600
2020-03-18,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600
2020-03-19,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700
2020-03-20,8284.450195,8883.000000,8178.200195,8745.450195,8745.450195,1071500
2020-03-23,7945.700195,8159.250000,7583.600098,7610.250000,7610.250000,653500
2020-03-24,7848.299805,8036.950195,7511.100098,7801.049805,7801.049805,738400
2020-03-25,7735.149902,8376.750000,7714.750000,8317.849609,8317.849609,736900
2020-03-26,8451.000000,8749.049805,8304.900391,8641.450195,8641.450195,865600
2020-03-27,8949.099609,9038.900391,8522.900391,8660.250000,8660.250000,801500
2020-03-30,8385.950195,8576.000000,8244.000000,8281.099609,8281.099609,593300
2020-03-31,8529.349609,8678.299805,8358.000000,8597.750000,8597.750000,712700
2020-04-01,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300
2020-04-03,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
2020-04-07,8446.299805,8819.400391,8360.950195,8792.200195,8792.200195,814200
2020-04-08,8688.900391,9131.700195,8653.900391,8748.750000,8748.750000,896500
2020-04-09,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
2020-04-13,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
2020-04-15,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100
2020-04-16,8851.250000,9053.750000,8821.900391,8992.799805,8992.799805,719400
2020-04-17,9323.450195,9324.000000,9091.349609,9266.750000,9266.750000,684200
2020-04-20,9390.200195,9390.849609,9230.799805,9261.849609,9261.849609,726400
2020-04-21,9016.950195,9044.400391,8909.400391,8981.450195,8981.450195,655100
2020-04-22,9026.750000,9209.750000,8946.250000,9187.299805,9187.299805,734400
2020-04-23,9232.349609,9343.599609,9170.150391,9313.900391,9313.900391,666700
2020-04-24,9163.900391,9296.900391,9141.299805,9154.400391,9154.400391,659400
2020-04-27,9259.700195,9377.099609,9250.349609,9282.299805,9282.299805,512800
2020-04-28,9389.799805,9404.400391,9260.000000,9380.900391,9380.900391,614500
2020-04-29,9408.599609,9599.849609,9392.349609,9553.349609,9553.349609,653000
2020-04-30,9753.500000,9889.049805,9731.500000,9859.900391,9859.900391,931200
2020-05-04,9533.500000,9533.500000,9266.950195,9293.500000,9293.500000,687500
2020-05-05,9429.400391,9450.900391,9190.750000,9205.599609,9205.599609,725200
2020-05-06,9226.799805,9346.900391,9116.500000,9270.900391,9270.900391,722200
2020-05-07,9234.049805,9277.849609,9175.900391,9199.049805,9199.049805,708700
2020-05-08,9376.950195,9382.650391,9238.200195,9251.500000,9251.500000,609100
2020-05-11,9348.150391,9439.900391,9219.950195,9239.200195,9239.200195,704600
2020-05-12,9168.849609,9240.849609,9043.950195,9196.549805,9196.549805,805500
2020-05-13,9584.200195,9584.500000,9351.099609,9383.549805,9383.549805,846400
2020-05-14,9213.950195,9281.099609,9119.750000,9142.750000,9142.750000,602600
2020-05-15,9182.400391,9182.400391,9050.000000,9136.849609,9136.849609,575900
2020-05-18,9158.299805,9158.299805,8806.750000,8823.250000,8823.250000,773000
2020-05-19,8961.700195,9030.349609,8855.299805,8879.099609,8879.099609,762200
2020-05-20,8889.150391,9093.799805,8875.349609,9066.549805,9066.549805,622300
2020-05-21,9079.450195,9178.549805,9056.099609,9106.250000,9106.250000,631500
2020-05-22,9067.900391,9149.599609,8968.549805,9039.250000,9039.250000,675800
2020-05-26,9099.750000,9161.650391,8996.650391,9029.049805,9029.049805,655000
2020-05-27,9082.200195,9334.000000,9004.250000,9314.950195,9314.950195,763500
2020-05-28,9364.950195,9511.250000,9336.500000,9490.099609,9490.099609,837900
2020-05-29,9422.200195,9598.849609,9376.900391,9580.299805,9580.299805,967000
2020-06-01,9726.849609,9931.599609,9706.950195,9826.150391,9826.150391,794200
2020-06-02,9880.849609,9995.599609,9824.049805,9979.099609,9979.099609,770200
2020-06-03,10108.299805,10176.200195,10035.549805,10061.549805,10061.549805,794700
2020-06-04,10054.250000,10123.849609,9944.250000,10029.099609,10029.099609,775100
2020-06-05,10093.799805,10177.799805,10040.750000,10142.150391,10142.150391,987100
2020-06-08,10326.750000,10328.500000,10120.250000,10167.450195,10167.450195,936500
2020-06-09,10181.150391,10291.150391,10021.450195,10046.650391,10046.650391,754200
2020-06-10,10072.599609,10148.750000,10036.849609,10116.150391,10116.150391,632400
2020-06-11,10094.099609,10112.049805,9885.049805,9902.000000,9902.000000,715500
2020-06-12,9544.950195,9996.049805,9544.349609,9972.900391,9972.900391,796300
2020-06-15,9919.349609,9943.349609,9726.349609,9813.700195,9813.700195,716100
2020-06-16,10014.799805,10046.150391,9728.500000,9914.000000,9914.000000,899900
2020-06-17,9876.700195,10003.599609,9833.799805,9881.150391,9881.150391,685400
2020-06-18,9863.250000,10111.200195,9845.049805,10091.650391,10091.650391,622900
2020-06-19,10119.000000,10272.400391,10072.650391,10244.400391,10244.400391,892100
2020-06-22,10318.750000,10393.650391,10277.599609,10311.200195,10311.200195,685400
2020-06-23,10347.950195,10484.700195,10301.750000,10471.000000,10471.000000,669200
2020-06-24,10529.250000,10553.150391,10281.950195,10305.299805,10305.299805,854800
2020-06-25,10235.549805,10357.000000,10194.500000,10348.400391,10348.400391,0
